case;message;entity
pago;Puedes pagar tu boleta sin salir de casa, a través de la plataforma que prefieras: #QuédateEnCasa, porque nos preocupamos por ti, puedes realizar tu pago a través de entel.cl / desde Mi Entel / desde App;none
pago;Para realizar el pago ingresa al siguiente link, ingresa tu Rut y luego selecciona el medio de pago.;web
pago;Para realizar el pago, ingresa a la App y en la ventana principal encontrarás el botón de Pagar, luego debes seleccionar el medio de pago.;app
pago;Ingresa al siguiente link, debes ingresar tus datos. En la página principal aparece el botón de pago.;mi_entel
boleta_detalle;Para revisar el detalle de la boleta, ingresa a Mi Entel, en la sección Mis Pagos, puedes revisar el detalle de cada una de tus boletas. También lo puedes revisar a través de la App, en Mis pagos.;none
boleta_anterior;Para revisar el detalle de la boleta, ingresa a Mi Entel, en la sección Mis Pagos, puedes revisar el detalle de cada una de tus boletas. También lo puedes revisar a través de la App, en Mis pagos.;none
comprar_bolsa;#QuédateEnCasa porque nos preocupamos por ti, puedes realizar la compra de tu bolsa desde la App, Mi Entel y Entel lite o llamando al 103 marcando la opción 3.;none
bolsa_disponible;Ingresa al Link https://www.entel.cl/prepago/; none
bolsa_contratada;Puedes consultar tus bolsas desde Mi entel, en la sección Mis productos, seleccionando Bolsas y luego Bolsas contratadas, también lo puedes ver desde la APP.;none
recarga;Recuerda #QuédateEnCasa y utiliza nuetros canales digitales disponibles para Recarga que son: www.entel.cl/recarga y paga con tu redcompra o tarjeta de crédito. En Mi Entel, ingresando a la sección Mis Productos y luego selecciona Recarga.;none
